location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Mean Sea Level Pressure,Mean Sea Level Pressure,Mean Sea Level Pressure,Precipitation Total,Cloud Cover Total,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
unit,°C,°C,°C,%,%,%,hPa,hPa,hPa,mm,%,km/h,km/h,km/h,°
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m,2 m,2 m,MSL,MSL,MSL,sfc,sfc,10 m,10 m,10 m,10 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Summation,Mean,Minimum,Maximum,Mean,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Mean Sea Level Pressure [MSL],Basel Mean Sea Level Pressure [MSL],Basel Mean Sea Level Pressure [MSL],Basel Precipitation Total,Basel Cloud Cover Total,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m]
20080212T0000,-0.90947133,8.400529,3.7326117,63.0,92.0,74.791664,1031.6,1034.5,1033.0458,0.0,28.375,0.0,6.6812778,3.161198,251.07536
20080213T0000,-0.56947136,9.250529,4.415945,62.0,93.0,74.916664,1032.7,1035.9,1034.1292,0.0,0.0,2.1477854,8.986805,5.016684,85.40575
20080214T0000,-0.71947134,8.000528,3.5559454,63.0,92.0,78.458336,1031.5,1036.8,1034.1542,0.0,0.1,0.3767465,6.5795946,3.114003,326.778
20080215T0000,-2.6094716,8.150529,2.3563616,59.0,96.0,77.541664,1031.4,1035.5,1032.9625,0.0,29.166666,1.5984001,17.452759,7.2974725,77.47118
20080216T0000,-4.4694715,7.2105284,0.5992785,30.0,95.0,63.041668,1035.8,1041.4,1038.7418,0.0,8.666667,1.1302395,17.920225,10.437398,92.25092
20080217T0000,-3.4294715,6.2305284,0.7492785,56.0,73.0,62.708332,1039.9,1042.9,1041.6583,0.0,0.0,0.0,11.15386,4.845672,116.35179
20080218T0000,-0.6094713,8.620529,3.4021957,54.0,78.0,62.916668,1030.8,1040.7,1035.5209,0.0,0.05,1.6848617,5.8608,3.3358757,67.47943
20080219T0000,-1.6494713,10.080529,4.416779,54.0,82.0,62.833332,1023.0,1030.4,1026.4791,0.0,0.0,1.5533656,8.528961,4.727576,109.81588
20080220T0000,2.8205285,13.180529,7.081778,47.0,85.0,63.625,1019.8,1023.7,1022.27094,0.1,39.0,1.6204481,11.442802,5.5512366,245.29758
20080221T0000,5.4705286,11.730529,8.741363,71.0,92.0,80.541664,1023.1,1029.2,1025.7001,0.5,75.51667,2.664,17.898432,7.8262424,253.12762
20080222T0000,5.1905284,13.520529,9.145112,64.0,89.0,76.041664,1026.8,1030.8,1029.2208,0.0,34.3875,1.4346079,12.082348,6.9008064,241.49815
20080223T0000,7.0305285,13.980529,10.060112,69.0,88.0,80.333336,1026.2,1031.3,1029.0916,0.0,7.862499,1.0656,7.7256002,4.2459645,211.72934
20080224T0000,5.2205286,16.04053,10.766362,60.0,90.0,74.291664,1021.7,1026.9,1024.4248,0.0,0.75,1.4346079,7.237064,4.666711,101.71555
20080225T0000,6.4705286,14.790529,10.8855295,63.0,86.0,72.458336,1022.1,1026.0,1024.1041,0.0,20.754168,1.3583788,6.3322554,3.9083042,173.15724
20080226T0000,6.7305284,16.000528,11.323863,57.0,85.0,72.75,1013.9,1023.1,1018.1333,0.4,38.895832,1.7057923,19.138203,9.019308,233.47481
20080227T0000,7.2705283,11.680529,9.661779,54.0,88.0,71.583336,1015.3,1023.0,1019.7334,0.8,71.71667,2.0806506,23.262379,12.501213,279.63855
20080228T0000,3.0605285,13.610529,8.626779,64.0,88.0,74.125,1020.9,1024.2,1022.4416,0.0,31.908333,1.5984001,6.791894,3.7913227,126.22218
20080229T0000,9.270529,14.000529,11.915112,64.0,84.0,74.041664,1017.1,1021.8,1020.25415,0.0,96.625,4.0313635,22.006638,14.484517,251.76752
20080301T0000,8.920529,12.510529,11.080948,64.0,81.0,73.041664,1007.1,1018.0,1012.4917,3.1999998,75.13333,15.986219,37.72171,27.903688,262.01923
20080302T0000,8.210529,12.360529,10.538029,67.0,82.0,73.083336,1015.3,1018.1,1016.66675,0.4,84.666664,15.416714,26.543922,21.931852,256.91602
20080303T0000,4.7305284,11.990529,9.276361,70.0,87.0,79.708336,1012.3,1017.0,1014.4084,2.4,54.82083,6.443357,22.658098,15.049661,265.79272
20080304T0000,1.7605287,5.8605285,4.143445,66.0,94.0,79.958336,1010.7,1018.8,1013.60004,4.8,80.791664,2.2761226,25.62153,11.368882,294.38754
20080305T0000,-0.57947135,3.4805286,1.3296952,48.0,94.0,70.166664,1018.7,1031.8,1026.2458,0.0,45.083332,7.8892193,35.201107,22.231537,19.483902
20080306T0000,-3.6094716,6.9705286,0.8480285,42.0,92.0,66.083336,1021.9,1032.8,1027.1708,0.0,0.52500004,1.1302395,6.8075495,3.583285,53.252533
20080307T0000,-0.96947134,8.970529,3.4588616,52.0,79.0,63.583332,1013.0,1022.1,1016.7791,0.0,4.7083335,2.028842,11.080447,5.4645476,311.2099
20080308T0000,2.8205285,9.270529,5.987196,61.0,95.0,74.708336,1010.9,1015.0,1013.06665,0.2,45.108337,0.5328,4.075136,2.210447,198.00417
20080309T0000,3.0805285,12.310529,7.529279,62.0,87.0,72.208336,1002.4,1011.1,1006.99164,0.0,57.391666,1.0983953,14.068846,4.663098,194.40668
20080310T0000,4.4205284,12.470529,7.8734455,57.0,88.0,70.291664,989.9,1005.9,997.6792,0.0,79.125,3.0374274,40.535717,16.023573,213.36453
20080311T0000,5.4505286,10.600529,8.016362,53.0,77.0,68.958336,991.7,1003.3,999.3875,0.2,49.666668,16.561855,26.02007,21.500597,242.74954
20080312T0000,6.2105284,13.110529,10.603863,66.0,78.0,72.333336,1001.9,1016.4,1006.45,1.3000001,48.041668,16.80222,32.748783,27.285957,258.9262
20080313T0000,4.290529,10.690529,7.595946,56.0,84.0,66.75,1017.1,1020.7,1018.9583,0.0,76.25,3.7105224,23.396229,15.41341,258.88696
20080314T0000,8.720529,15.100529,11.747196,55.0,80.0,67.541664,1013.0,1016.6,1014.4959,0.0,56.791668,3.5741313,25.244825,15.558838,256.62936
20080315T0000,6.2405286,19.190529,12.106778,38.0,89.0,69.666664,1003.0,1016.0,1010.25836,0.0,68.370834,3.2518265,11.676103,8.036607,131.81683
20080316T0000,8.710529,12.820529,10.623446,56.0,78.0,66.041664,1003.1,1007.8,1004.9958,1.4000001,65.5,3.3379824,27.357607,19.035765,239.08304
20080317T0000,5.1405287,8.990529,7.3688626,70.0,89.0,81.333336,1004.2,1012.6,1008.9167,5.0,77.625,1.9394212,20.28842,13.281013,282.926
20080318T0000,-0.29947135,6.1905284,3.2371957,49.0,96.0,75.666664,1011.9,1017.3,1013.7585,0.0,47.958332,0.79920006,15.487902,7.2645755,0.5738983
20080319T0000,-0.46947134,5.6405287,2.7521954,59.0,83.0,68.125,1014.5,1018.5,1015.94586,0.0,45.0,0.5328,13.944709,7.119299,341.83093
20080320T0000,-0.7894713,6.1805286,2.943862,58.0,90.0,73.875,1010.2,1020.3,1017.4749,0.0,44.666668,3.9333487,22.304539,11.06063,272.32483
20080321T0000,2.0605285,6.0005283,3.9717789,64.0,88.0,79.5,985.7,1008.9,993.2959,17.300001,84.583336,13.449903,44.066456,31.390327,245.0615
20080322T0000,-0.34947133,5.9105287,3.0330286,61.0,85.0,75.541664,986.6,994.7,989.52924,1.1,58.208332,5.485512,22.687834,13.801574,257.2929
20080323T0000,-1.0994713,4.1305285,1.4867783,54.0,95.0,75.125,995.1,1000.3,997.646,1.3,88.833336,1.0983953,29.89502,13.581333,357.61902
20080324T0000,-3.0294714,3.8405285,0.4121952,58.0,87.0,73.833336,996.5,1000.0,997.94165,0.3,55.833332,2.5132127,22.998512,12.08096,258.93292
20080325T0000,-1.3394713,4.2105284,1.4621954,54.0,94.0,76.125,998.9,1009.6,1005.22076,1.2,84.0,13.386435,29.65189,23.011305,275.44165
20080326T0000,1.2705287,10.880529,6.1509457,51.0,92.0,72.041664,999.5,1010.3,1004.8,0.0,86.458336,2.8318708,24.521828,13.633907,260.52957
20080327T0000,5.5605288,9.3005295,7.1559463,57.0,87.0,71.75,999.2,1007.9,1002.0251,2.5,97.333336,4.5833187,19.138203,11.824134,255.17154
20080328T0000,1.1405287,13.220529,7.1717772,38.0,89.0,65.958336,1008.6,1013.8,1012.075,0.0,19.541666,1.332,12.509458,5.977923,181.71835
20080329T0000,5.3805285,13.980529,9.766779,50.0,85.0,66.5,1013.4,1022.9,1019.875,0.4,40.916668,1.6204481,22.151285,10.444571,263.47095
20080330T0000,0.44052866,20.740528,10.573863,31.0,95.0,66.625,1007.7,1019.0,1012.5041,0.0,40.662502,4.897704,17.0496,10.482064,139.4564
20080331T0000,7.3305287,11.860529,9.650529,59.0,83.0,71.0,1012.2,1021.4,1016.9375,0.1,91.666664,1.332,14.712421,6.678697,274.87927
20080401T0000,6.9205284,15.740529,10.945947,54.0,82.0,68.166664,1021.5,1024.8,1023.00415,0.0,62.295834,1.0656,11.201478,4.789291,261.1871
20080402T0000,7.2005286,12.110529,9.84178,62.0,90.0,77.625,1022.3,1024.3,1023.35425,0.1,77.2,6.9468617,22.0147,16.092577,278.22675
20080403T0000,4.7505283,9.510529,7.2213616,62.0,94.0,76.75,1022.7,1027.0,1024.2001,0.0,57.083332,4.72062,15.733395,10.045957,320.43082
20080404T0000,3.3905284,11.460529,7.1338615,61.0,96.0,78.25,1022.7,1030.0,1026.6749,0.0,45.041668,2.1967907,9.605188,4.939901,334.4742
20080405T0000,1.6105287,12.830529,8.53928,59.0,93.0,73.416664,1005.9,1022.6,1014.85425,2.6000001,66.708336,2.9784427,21.859413,10.870907,256.35406
20080406T0000,4.290529,8.450529,6.265112,53.0,95.0,75.5,1000.1,1006.6,1003.82495,2.6999998,65.75,5.5943995,19.2786,10.084298,277.83484
20080407T0000,-1.0694714,6.6205287,3.2221956,46.0,87.0,64.0,1000.1,1008.5,1005.14166,1.9,50.95,0.5956885,35.302773,20.732359,255.92438
20080408T0000,-1.5394714,12.770529,5.5692787,46.0,86.0,67.166664,1000.3,1008.6,1003.86676,0.0,69.770836,1.5533656,16.039404,7.733601,138.28528
20080409T0000,4.6505284,13.190529,9.027195,68.0,96.0,84.291664,992.9,1001.1,996.9666,5.5,93.375,0.753493,13.207638,7.876536,126.75168
20080410T0000,6.290529,12.0505295,9.872612,76.0,97.0,92.083336,994.0,997.4,996.2583,24.2,93.458336,1.0983953,9.770018,4.1411543,112.981
20080411T0000,7.1605287,13.220529,9.884695,79.0,97.0,87.958336,995.6,1007.3,998.29584,12.400001,85.86667,3.7391024,21.580046,9.539939,262.29068
20080412T0000,4.9705286,11.970529,8.797612,57.0,90.0,72.041664,1007.7,1014.3,1010.95,0.0,48.375,1.4346079,15.679173,6.7977653,260.87222
20080413T0000,4.790529,15.450529,10.030529,50.0,85.0,66.041664,1011.5,1016.4,1014.29584,0.0,32.304165,0.753493,10.817939,5.395506,199.04445
20080414T0000,6.290529,9.230529,8.0609455,68.0,88.0,74.75,1012.2,1018.3,1015.42084,1.6,91.84167,3.700947,17.856749,14.475699,267.36972
20080415T0000,4.6805286,7.9005284,6.3988624,72.0,91.0,81.416664,1018.2,1023.3,1020.06683,5.0999994,96.333336,2.664,18.290644,12.035075,296.16156
20080416T0000,3.6605287,9.000529,6.0671954,58.0,93.0,78.625,1014.2,1023.3,1019.1292,0.3,53.291668,0.5956885,7.0078893,4.0836153,349.17377
20080417T0000,-0.39947134,14.100529,6.908863,49.0,96.0,73.375,998.3,1014.6,1005.81665,0.0,67.00833,0.0,13.226431,6.3252654,48.366455
20080418T0000,5.4105287,17.190529,11.428028,56.0,97.0,76.833336,991.3,1001.0,996.4416,0.1,81.13333,1.332,10.444103,6.73846,93.65222
20080419T0000,9.170529,15.740529,12.283028,51.0,90.0,68.625,991.7,1003.1,998.27496,0.6,67.916664,2.4560864,22.617342,11.063785,261.15988
20080420T0000,6.6405287,17.610529,12.61428,44.0,81.0,66.708336,998.4,1004.2,1002.1335,0.0,67.6375,0.9605189,15.7176,7.865927,84.688446
20080421T0000,9.100529,12.330529,10.7292795,68.0,97.0,83.208336,996.6,1000.3,999.19995,9.600001,100.0,1.7870656,15.453498,7.4707413,266.3042
20080422T0000,9.110529,13.380529,10.933029,79.0,91.0,87.083336,998.9,1011.9,1004.9458,32.3,100.0,12.2544,28.776133,19.356499,274.0903
20080423T0000,10.060529,14.690529,12.187612,71.0,93.0,84.666664,1012.1,1021.2,1017.12915,4.1,95.583336,0.5328,11.733703,6.100083,281.30994
20080424T0000,10.630529,17.420528,13.799695,52.0,92.0,72.416664,1021.5,1027.2,1024.1666,0.4,57.625,1.0983953,11.79403,7.271406,274.24387
20080425T0000,8.760529,15.890529,13.093029,59.0,85.0,71.958336,1027.6,1029.4,1028.525,0.8,82.291664,0.5328,11.080446,7.7782273,264.99695
20080426T0000,7.1905284,18.89053,13.332196,43.0,95.0,68.833336,1024.0,1029.2,1026.85,0.0,17.6,0.753493,12.2544,5.7501793,95.546455
20080427T0000,8.350529,20.39053,14.668861,57.0,79.0,67.875,1014.4,1024.9,1020.2126,0.0,25.279167,0.0,13.505193,6.5315433,118.7711
20080428T0000,9.370529,19.430529,13.430946,44.0,92.0,72.541664,1008.2,1014.7,1011.24585,2.9,83.683334,2.6772869,21.099485,7.9690914,266.70868
20080429T0000,7.4205284,15.570529,11.056778,55.0,90.0,71.25,1002.1,1010.8,1007.25,0.3,61.708332,2.1477854,15.333628,7.523372,247.29257
20080430T0000,5.5505285,16.240528,8.762612,59.0,87.0,76.75,999.8,1009.7,1003.825,5.9,63.583332,3.554219,28.584358,10.449175,181.82797
20080501T0000,5.6005287,15.810529,10.933864,48.0,80.0,64.0,1010.3,1018.0,1014.3374,0.0,35.625,1.5984001,9.073257,5.2767854,200.55605
20080502T0000,7.7805285,18.680529,13.467196,49.0,88.0,64.5,1018.6,1023.4,1021.68335,0.0,16.695833,0.2664,6.448861,3.6678293,140.9645
20080503T0000,8.110529,20.990528,15.379695,49.0,96.0,69.791664,1020.9,1025.4,1022.9541,0.0,50.425,1.1302395,11.080446,4.995246,97.29066
20080504T0000,8.090529,21.54053,15.63178,51.0,96.0,70.375,1018.0,1022.5,1020.175,0.0,33.266666,0.5956885,9.795408,5.387146,88.21008
20080505T0000,8.880529,19.13053,14.982613,40.0,88.0,58.25,1019.5,1022.0,1020.77094,0.0,5.066667,2.028842,20.274424,12.599399,93.87164
20080506T0000,7.4005284,21.47053,15.017196,46.0,86.0,64.416664,1019.3,1023.0,1020.95013,0.0,1.5,1.332,14.407783,9.479032,93.96191
20080507T0000,7.5705285,22.04053,15.126778,49.0,96.0,70.833336,1017.3,1022.7,1020.1999,0.0,19.375,1.8837326,10.248613,5.2963967,86.5558
20080508T0000,5.6705284,23.020529,15.500112,47.0,100.0,72.083336,1014.5,1020.7,1017.5999,0.0,5.25,2.664,5.1725526,4.062194,86.217354
20080509T0000,7.6305285,24.15053,16.865114,42.0,100.0,68.708336,1011.7,1018.1,1014.31256,0.0,6.620833,3.2951863,10.4475,6.0599174,91.566284
20080510T0000,11.380529,24.250528,17.400946,46.0,83.0,67.083336,1011.6,1015.8,1013.80426,0.0,3.9958334,5.089565,17.05168,8.760476,95.111084
20080511T0000,9.5505295,21.81053,16.264694,51.0,92.0,68.083336,1013.5,1016.5,1015.01666,0.0,29.583334,1.1302395,8.726379,4.5901184,138.11507
20080512T0000,11.170529,22.38053,17.00011,45.0,78.0,61.5,1013.5,1017.3,1015.32916,0.0,8.825,1.3583788,6.354631,3.9375582,88.673935
20080513T0000,11.590529,22.64053,17.437613,47.0,81.0,64.375,1011.6,1015.2,1013.46246,0.0,1.25,0.2664,5.3876066,2.3658402,47.12108
20080514T0000,8.170529,24.670528,18.440947,41.0,94.0,65.791664,1011.0,1015.3,1012.96246,0.6,33.416668,0.0,5.8849683,2.8091393,212.19574
20080515T0000,14.3005295,20.000528,17.161362,60.0,100.0,76.0,1009.7,1012.3,1011.25824,0.2,87.458336,1.7870656,14.321323,6.3440185,262.31732
20080516T0000,13.570529,20.72053,17.385527,58.0,79.0,68.083336,1007.2,1011.8,1009.57086,0.1,69.70417,0.79920006,7.1928,3.7250068,247.10013
